ID	allele_type
YERS_1	core
YERS_2	core
YERS_3	core
YERS_4	core
YERS_5	core
YERS_6	core
YERS_7	core
YERS_8	core
YERS_9	core
YERS_10	core
YERS_11	core
YERS_12	core
YERS_13	core
YERS_14	core
YERS_15	core
YERS_16	core
YERS_17	core
YERS_18	core
YERS_19	core
YERS_20	core
YERS_21	core
YERS_22	core
YERS_23	core
YERS_24	core
YERS_25	core
YERS_26	core
YERS_27	core
YERS_28	core
YERS_29	core
YERS_30	core
YERS_31	core
YERS_32	core
YERS_33	core
YERS_34	core
YERS_35	core
YERS_36	core
YERS_37	core
YERS_38	core
YERS_39	core
YERS_40	core
YERS_41	core
YERS_42	core
YERS_43	core
YERS_44	core
YERS_45	core
YERS_46	core
YERS_47	core
YERS_48	core
YERS_49	core
YERS_50	core
YERS_51	core
YERS_52	core
YERS_53	core
YERS_54	core
YERS_55	core
YERS_56	core
YERS_57	core
YERS_58	core
YERS_59	core
YERS_60	core
YERS_61	core
YERS_62	core
YERS_63	core
YERS_64	core
YERS_65	core
YERS_66	core
YERS_67	core
YERS_68	core
YERS_69	core
YERS_70	core
YERS_71	core
YERS_72	core
YERS_73	core
YERS_74	core
YERS_75	core
YERS_76	core
YERS_77	core
YERS_78	core
YERS_79	core
YERS_80	core
YERS_81	core
YERS_82	core
YERS_83	core
YERS_84	core
YERS_85	core
YERS_86	core
YERS_87	core
YERS_88	core
YERS_89	core
YERS_90	core
YERS_91	core
YERS_92	core
YERS_93	core
YERS_94	core
YERS_95	core
YERS_96	core
YERS_97	core
YERS_98	core
YERS_99	core
YERS_100	core
YERS_101	core
YERS_102	core
YERS_103	core
YERS_104	core
YERS_105	core
YERS_106	core
YERS_107	core
YERS_108	core
YERS_109	core
YERS_110	core
YERS_111	core
YERS_112	core
YERS_113	core
YERS_114	core
YERS_115	core
YERS_116	core
YERS_117	core
YERS_118	core
YERS_119	core
YERS_120	core
YERS_121	core
YERS_122	core
YERS_123	core
YERS_124	core
YERS_125	core
YERS_126	core
YERS_127	core
YERS_128	core
YERS_129	core
YERS_130	core
YERS_131	core
YERS_132	core
YERS_133	core
YERS_134	core
YERS_135	core
YERS_136	core
YERS_137	core
YERS_138	core
YERS_139	core
YERS_140	core
YERS_141	core
YERS_142	core
YERS_143	core
YERS_144	core
YERS_145	core
YERS_146	core
YERS_147	core
YERS_148	core
YERS_149	core
YERS_150	core
YERS_151	core
YERS_152	core
YERS_153	core
YERS_154	core
YERS_155	core
YERS_156	core
YERS_157	core
YERS_158	core
YERS_159	core
YERS_160	core
YERS_161	core
YERS_162	core
YERS_163	core
YERS_164	core
YERS_165	core
YERS_166	core
YERS_167	core
YERS_168	core
YERS_169	core
YERS_170	core
YERS_171	core
YERS_172	core
YERS_173	core
YERS_174	core
YERS_175	core
YERS_176	core
YERS_177	core
YERS_178	core
YERS_179	core
YERS_180	core
YERS_181	core
YERS_182	core
YERS_183	core
YERS_184	core
YERS_185	core
YERS_186	core
YERS_187	core
YERS_188	core
YERS_189	core
YERS_190	core
YERS_191	core
YERS_192	core
YERS_193	core
YERS_194	core
YERS_195	core
YERS_196	core
YERS_197	core
YERS_198	core
YERS_199	core
YERS_200	core
YERS_201	core
YERS_202	core
YERS_203	core
YERS_204	core
YERS_205	core
YERS_206	core
YERS_207	core
YERS_208	core
YERS_209	core
YERS_210	core
YERS_211	core
YERS_212	core
YERS_213	core
YERS_214	core
YERS_215	core
YERS_216	core
YERS_217	core
YERS_218	core
YERS_219	core
YERS_220	core
YERS_221	core
YERS_222	core
YERS_223	core
YERS_224	core
YERS_225	core
YERS_226	core
YERS_227	core
YERS_228	core
YERS_229	core
YERS_230	core
YERS_231	core
YERS_232	core
YERS_233	core
YERS_234	core
YERS_235	core
YERS_236	core
YERS_237	core
YERS_238	core
YERS_239	core
YERS_240	core
YERS_241	core
YERS_242	core
YERS_243	core
YERS_244	core
YERS_245	core
YERS_246	core
YERS_247	core
YERS_248	core
YERS_249	core
YERS_250	core
YERS_251	core
YERS_252	core
YERS_253	core
YERS_254	core
YERS_255	core
YERS_256	core
YERS_257	core
YERS_258	core
YERS_259	core
YERS_260	core
YERS_261	core
YERS_262	core
YERS_263	core
YERS_264	core
YERS_265	core
YERS_266	core
YERS_267	core
YERS_268	core
YERS_269	core
YERS_270	core
YERS_271	core
YERS_272	core
YERS_273	core
YERS_274	core
YERS_275	core
YERS_276	core
YERS_277	core
YERS_278	core
YERS_279	core
YERS_280	core
YERS_281	core
YERS_282	core
YERS_283	core
YERS_284	core
YERS_285	core
YERS_286	core
YERS_287	core
YERS_288	core
YERS_289	core
YERS_290	core
YERS_291	core
YERS_292	core
YERS_293	core
YERS_294	core
YERS_295	core
YERS_296	core
YERS_297	core
YERS_298	core
YERS_299	core
YERS_300	core
YERS_301	core
YERS_302	core
YERS_303	core
YERS_304	core
YERS_305	core
YERS_306	core
YERS_307	core
YERS_308	core
YERS_309	core
YERS_310	core
YERS_311	core
YERS_312	core
YERS_313	core
YERS_314	core
YERS_315	core
YERS_316	core
YERS_317	core
YERS_318	core
YERS_319	core
YERS_320	core
YERS_321	core
YERS_322	core
YERS_323	core
YERS_324	core
YERS_325	core
YERS_326	core
YERS_327	core
YERS_328	core
YERS_329	core
YERS_330	core
YERS_331	core
YERS_332	core
YERS_333	core
YERS_334	core
YERS_335	core
YERS_336	core
YERS_337	core
YERS_338	core
YERS_339	core
YERS_340	core
YERS_341	core
YERS_342	core
YERS_343	core
YERS_344	core
YERS_345	core
YERS_346	core
YERS_347	core
YERS_348	core
YERS_349	core
YERS_350	core
YERS_351	core
YERS_352	core
YERS_353	core
YERS_354	core
YERS_355	core
YERS_356	core
YERS_357	core
YERS_358	core
YERS_359	core
YERS_360	core
YERS_361	core
YERS_362	core
YERS_363	core
YERS_364	core
YERS_365	core
YERS_366	core
YERS_367	core
YERS_368	core
YERS_369	core
YERS_370	core
YERS_371	core
YERS_372	core
YERS_373	core
YERS_374	core
YERS_375	core
YERS_376	core
YERS_377	core
YERS_378	core
YERS_379	core
YERS_380	core
YERS_381	core
YERS_382	core
YERS_383	core
YERS_384	core
YERS_385	core
YERS_386	core
YERS_387	core
YERS_388	core
YERS_389	core
YERS_390	core
YERS_391	core
YERS_392	core
YERS_393	core
YERS_394	core
YERS_395	core
YERS_396	core
YERS_397	core
YERS_398	core
YERS_399	core
YERS_400	core
YERS_401	core
YERS_402	core
YERS_403	core
YERS_404	core
YERS_405	core
YERS_406	core
YERS_407	core
YERS_408	core
YERS_409	core
YERS_410	core
YERS_411	core
YERS_412	core
YERS_413	core
YERS_414	core
YERS_415	core
YERS_416	core
YERS_417	core
YERS_418	core
YERS_419	core
YERS_420	core
YERS_421	core
YERS_422	core
YERS_423	core
YERS_424	core
YERS_425	core
YERS_426	core
YERS_427	core
YERS_428	core
YERS_429	core
YERS_430	core
YERS_431	core
YERS_432	core
YERS_433	core
YERS_434	core
YERS_435	core
YERS_436	core
YERS_437	core
YERS_438	core
YERS_439	core
YERS_440	core
YERS_441	core
YERS_442	core
YERS_443	core
YERS_444	core
YERS_445	core
YERS_446	core
YERS_447	core
YERS_448	core
YERS_449	core
YERS_450	core
YERS_451	core
YERS_452	core
YERS_453	core
YERS_454	core
YERS_455	core
YERS_456	core
YERS_457	core
YERS_458	core
YERS_459	core
YERS_460	core
YERS_461	core
YERS_462	core
YERS_463	core
YERS_464	core
YERS_465	core
YERS_466	core
YERS_467	core
YERS_468	core
YERS_469	core
YERS_470	core
YERS_471	core
YERS_472	core
YERS_473	core
YERS_474	core
YERS_475	core
YERS_476	core
YERS_477	core
YERS_478	core
YERS_479	core
YERS_480	core
YERS_481	core
YERS_482	core
YERS_483	core
YERS_484	core
YERS_485	core
YERS_486	core
YERS_487	core
YERS_488	core
YERS_489	core
YERS_490	core
YERS_491	core
YERS_492	core
YERS_493	core
YERS_494	core
YERS_495	core
YERS_496	core
YERS_497	core
YERS_498	core
YERS_499	core
YERS_500	core
YERS_501	core
YERS_502	core
YERS_503	core
YERS_504	core
YERS_505	core
YERS_506	core
YERS_507	core
YERS_508	core
YERS_509	core
YERS_510	core
YERS_511	core
YERS_512	core
YERS_513	core
YERS_514	core
YERS_515	core
YERS_516	core
YERS_517	core
YERS_518	core
YERS_519	core
YERS_520	core
YERS_521	core
YERS_522	core
YERS_523	core
YERS_524	core
YERS_525	core
YERS_526	core
YERS_527	core
YERS_528	core
YERS_529	core
YERS_530	core
YERS_531	core
YERS_532	core
YERS_533	core
YERS_534	core
YERS_535	core
YERS_536	core
YERS_537	core
YERS_538	core
YERS_539	core
YERS_540	core
YERS_541	core
YERS_542	core
YERS_543	core
YERS_544	core
YERS_545	core
YERS_546	core
YERS_547	core
YERS_548	core
YERS_549	core
YERS_550	core
YERS_551	core
YERS_552	core
YERS_553	core
YERS_554	core
YERS_555	core
YERS_556	core
YERS_557	core
YERS_558	core
YERS_559	core
YERS_560	core
YERS_561	core
YERS_562	core
YERS_563	core
YERS_564	core
YERS_565	core
YERS_566	core
YERS_567	core
YERS_568	core
YERS_569	core
YERS_570	core
YERS_571	core
YERS_572	core
YERS_573	core
YERS_574	core
YERS_575	core
YERS_576	core
YERS_577	core
YERS_578	core
YERS_579	core
YERS_580	core
YERS_581	core
YERS_582	core
YERS_583	core
YERS_584	core
YERS_585	core
YERS_586	core
YERS_587	core
YERS_588	core
YERS_589	core
YERS_590	core
YERS_591	core
YERS_592	core
YERS_593	core
YERS_594	core
YERS_595	core
YERS_596	core
YERS_597	core
YERS_598	core
YERS_599	core
YERS_600	core
YERS_601	core
YERS_602	core
YERS_603	core
YERS_604	core
YERS_605	core
YERS_606	core
YERS_607	core
YERS_608	core
YERS_609	core
YERS_610	core
YERS_611	core
YERS_612	core
YERS_613	core
YERS_614	core
YERS_615	core
YERS_616	core
YERS_617	core
YERS_618	core
YERS_619	core
YERS_620	core
YERS_621	core
YERS_622	core
YERS_623	core
YERS_624	core
YERS_625	core
YERS_626	core
YERS_627	core
YERS_628	core
YERS_629	core
YERS_630	core
YERS_631	core
YERS_632	core
YERS_633	core
YERS_634	core
YERS_635	core
YERS_636	core
YERS_637	core
YERS_638	core
YERS_639	core
YERS_640	core
YERS_641	core
YERS_642	core
